index,wave,country,imp_family,imp_religion,happiness,satisfaction_life,univ_imp_boy_girl,housewife_fulfill_work,marital,num_children,satisfaction_finance,confidence_women_org,respect_human,religious_denom,religious_person,justify_gay,justify_abortion,justify_divorce,employment_status,chief_wage,sex,year_birth,age,edu,edu_age_complete,ethnic,survey_year
83224,6,840,1,4,1,7,4,3,6,0,2,2,4,0,3,10,9,10,7,2,1,1986,25,7.0,-2.0,840002,2011
83225,6,840,1,3,2,8,3,3,3,3,6,3,3,62,1,6,1,4,1,1,1,1965,46,7.0,18.0,840006,2011
83226,6,840,3,4,2,5,4,3,6,0,3,1,2,62,2,10,10,10,1,1,2,1963,48,9.0,34.0,840002,2011
83227,6,840,1,2,2,9,3,1,1,3,7,2,3,64,1,10,4,6,1,1,1,1968,43,7.0,18.0,840002,2011
83228,6,840,1,1,1,10,3,1,1,4,-2,3,1,64,1,5,1,8,4,1,1,1937,74,9.0,27.0,840002,2011
83229,6,840,1,1,1,10,1,1,1,3,10,1,2,64,1,10,8,9,5,1,2,1987,24,8.0,20.0,840002,2011
83230,6,840,1,1,1,9,4,4,3,2,7,3,3,53,1,2,4,8,1,1,2,1962,49,9.0,-2.0,840002,2011
83231,6,840,1,2,3,5,3,2,1,4,3,3,3,0,3,5,5,5,1,1,1,1955,56,7.0,18.0,840002,2011
83232,6,840,1,2,2,9,3,2,1,2,9,2,1,62,1,9,9,9,4,1,1,1948,63,9.0,24.0,840002,2011
83233,6,840,1,3,1,10,4,2,1,4,7,2,2,0,2,10,7,7,4,1,1,1942,69,9.0,39.0,840002,2011
83234,6,840,1,2,1,9,4,4,6,0,7,1,2,62,1,10,10,10,6,2,2,1992,19,8.0,24.0,840002,2011
83235,6,840,1,3,2,9,4,2,6,0,8,2,2,64,1,8,8,9,1,1,2,1966,45,9.0,45.0,840002,2011
83236,6,840,1,1,2,6,3,2,1,2,9,2,2,62,1,5,5,5,4,1,1,1938,73,8.0,19.0,840003,2011
83237,6,840,1,1,3,5,4,2,6,1,2,2,2,64,1,9,6,8,7,1,2,1954,57,8.0,26.0,840002,2011
83238,6,840,1,3,2,7,4,2,1,2,5,2,2,0,1,10,10,10,1,1,1,1978,33,8.0,18.0,840002,2011
83239,6,840,2,1,1,10,4,2,1,3,10,2,2,62,2,5,5,5,3,1,1,1942,69,8.0,17.0,840002,2011
83240,6,840,1,4,2,7,3,2,2,3,7,3,3,0,2,8,10,8,4,1,1,1947,64,8.0,26.0,840002,2011
83241,6,840,1,2,1,9,3,3,2,1,7,2,1,62,1,5,2,5,4,1,1,1961,50,3.0,18.0,840002,2011
83242,6,840,3,4,2,9,4,2,1,0,9,2,1,0,2,7,8,8,1,1,2,1971,40,9.0,22.0,840002,2011
83243,6,840,1,1,2,8,4,2,5,0,7,2,2,64,1,8,6,9,4,1,1,1934,77,7.0,18.0,840002,2011
83244,6,840,1,2,2,7,4,3,1,2,4,3,2,62,1,8,5,5,1,1,2,1957,54,7.0,54.0,840004,2011
83245,6,840,1,1,1,8,4,1,3,3,5,2,2,62,1,8,1,8,1,1,2,1949,62,9.0,46.0,840002,2011
83246,6,840,1,2,2,8,3,2,1,4,10,2,2,62,2,8,8,9,4,1,1,1937,74,6.0,17.0,840002,2011
83247,6,840,1,3,1,7,4,2,1,0,7,2,2,0,2,10,5,7,1,2,1,1980,31,9.0,24.0,840002,2011
83248,6,840,1,1,2,7,4,1,1,3,7,2,3,64,1,10,1,10,1,2,2,1961,50,8.0,24.0,840002,2011
83249,6,840,1,4,2,8,4,3,2,0,4,2,3,42,3,10,10,10,3,2,2,1956,55,9.0,25.0,840002,2011
83250,6,840,1,2,2,9,4,3,1,2,8,2,2,62,1,10,7,7,1,2,2,1957,54,8.0,30.0,840002,2011
83251,6,840,1,1,2,7,2,1,4,1,9,4,2,62,1,1,1,5,8,1,1,1942,69,7.0,19.0,840002,2011
83252,6,840,1,2,1,9,4,1,1,0,8,3,3,62,1,8,8,8,1,1,2,1962,49,9.0,37.0,840002,2011
83253,6,840,1,2,1,9,4,1,1,2,9,2,3,64,1,8,8,10,5,2,2,1947,64,7.0,17.0,840002,2011
83254,6,840,1,1,3,4,4,2,1,2,8,2,3,62,1,4,7,8,4,2,1,1932,79,9.0,26.0,840002,2011
83255,6,840,1,1,2,7,4,1,1,6,5,3,3,53,1,1,1,5,4,-2,1,1937,74,8.0,-2.0,840002,2011
83256,6,840,1,3,1,10,4,3,1,5,10,1,1,64,2,10,7,7,4,1,2,1929,82,9.0,22.0,840002,2011
83257,6,840,1,2,1,8,4,3,1,2,10,2,2,64,1,10,6,3,4,2,2,1951,60,9.0,21.0,840002,2011
83258,6,840,1,1,2,7,4,1,6,0,6,1,3,62,1,6,8,5,2,2,1,1990,21,8.0,25.0,840003,2011
83259,6,840,1,4,2,8,4,2,1,0,10,2,2,0,2,8,8,8,4,1,1,1948,63,9.0,22.0,840002,2011
83260,6,840,1,1,2,7,4,2,1,2,8,2,1,62,1,1,1,8,4,2,2,1941,70,7.0,17.0,840002,2011
83261,6,840,1,1,1,9,3,1,1,2,8,3,3,62,1,1,1,2,5,2,2,1970,41,6.0,-2.0,840002,2011
83262,6,840,1,2,2,8,3,2,1,3,7,3,2,62,2,1,1,8,1,2,1,1966,45,8.0,45.0,840002,2011
83263,6,840,1,4,2,9,3,1,6,0,7,3,2,0,2,9,2,9,2,2,1,1990,21,8.0,21.0,840002,2011
83264,6,840,1,3,2,8,4,2,1,2,7,2,3,64,1,8,9,8,7,2,2,1975,36,9.0,20.0,840002,2011
83265,6,840,1,1,2,8,4,1,1,2,5,3,3,53,2,4,7,10,4,2,2,1939,72,7.0,18.0,840002,2011
83266,6,840,1,1,1,9,3,2,1,2,8,2,2,62,1,8,5,8,4,1,1,1951,60,9.0,23.0,840002,2011
83267,6,840,1,1,1,8,3,2,5,2,9,2,3,62,1,5,6,6,8,1,2,1945,66,7.0,18.0,840002,2011
83268,6,840,1,1,1,10,3,2,1,2,6,3,3,53,1,1,2,4,2,2,2,1959,52,7.0,17.0,840002,2011
83269,6,840,1,2,1,9,4,1,1,2,9,3,2,62,1,8,2,4,5,2,2,1963,48,9.0,22.0,840002,2011
83270,6,840,2,2,2,5,3,2,6,0,5,3,3,62,1,2,5,5,2,2,1,1990,21,8.0,21.0,840002,2011
83271,6,840,1,2,1,10,4,1,1,1,9,2,3,64,1,10,10,10,4,2,2,1947,64,7.0,17.0,840002,2011
83272,6,840,1,3,2,8,4,3,6,0,8,1,1,0,2,10,7,10,6,2,2,1991,20,8.0,24.0,840002,2011
83273,6,840,1,3,2,8,3,1,2,2,4,3,2,0,2,10,1,1,1,1,2,1964,47,7.0,18.0,840002,2011
83274,6,840,1,2,1,9,4,3,1,0,7,-2,2,64,1,8,1,3,1,1,1,1985,26,9.0,23.0,840002,2011
83275,6,840,2,4,1,9,4,3,1,0,8,1,2,0,3,10,10,10,1,2,2,1980,31,9.0,29.0,840002,2011
83276,6,840,1,1,2,10,4,2,5,0,10,3,3,53,1,6,6,4,4,1,2,1953,58,7.0,57.0,840002,2011
83277,6,840,1,4,2,8,4,2,1,2,8,3,3,0,3,10,6,9,1,1,1,1973,38,8.0,24.0,840002,2011
83278,6,840,2,2,1,8,3,1,2,0,6,2,3,64,1,10,4,8,2,1,1,1961,50,9.0,50.0,840005,2011
83279,6,840,1,2,2,8,3,2,1,1,6,2,2,42,1,5,9,7,1,2,1,1953,58,9.0,22.0,840002,2011
83280,6,840,1,2,2,7,3,1,5,2,7,3,2,64,1,7,10,9,4,2,2,1943,68,9.0,28.0,840002,2011
83281,6,840,-2,-2,-2,-2,-2,-2,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1986,25,8.0,-2.0,840002,2011
83282,6,840,1,2,1,10,3,2,2,4,8,2,2,0,2,6,6,6,1,1,2,1955,56,7.0,18.0,840002,2011
83283,6,840,1,1,2,7,3,2,1,1,4,2,3,53,1,5,5,5,1,1,1,1974,37,9.0,21.0,840002,2011
83284,6,840,1,3,2,7,3,2,2,0,5,2,1,0,2,9,7,9,1,1,2,1964,47,9.0,28.0,840004,2011
83285,6,840,1,1,1,8,3,2,6,2,10,3,2,0,2,10,10,10,7,1,1,1958,53,6.0,53.0,840003,2011
83286,6,840,1,2,2,7,3,2,1,0,7,2,2,62,2,1,1,8,1,2,1,1952,59,8.0,22.0,840002,2011
83287,6,840,2,2,3,6,3,2,1,0,6,2,2,53,2,1,1,9,4,1,1,1957,54,6.0,19.0,840002,2011
83288,6,840,1,4,2,8,4,1,6,1,5,4,2,0,2,10,10,10,1,1,2,1959,52,9.0,25.0,840002,2011
83289,6,840,1,1,1,8,3,1,1,7,6,3,2,64,1,1,1,4,5,2,2,1974,37,9.0,22.0,840002,2011
83290,6,840,2,4,2,7,4,3,2,0,7,2,3,0,3,10,8,8,1,1,2,1954,57,9.0,23.0,840002,2011
83291,6,840,1,2,1,10,4,3,1,2,9,2,2,62,1,5,5,5,5,2,2,1956,55,7.0,17.0,840002,2011
83292,6,840,1,1,1,8,4,3,6,0,8,2,3,42,1,10,10,6,1,2,1,1989,22,9.0,21.0,840002,2011
83293,6,840,1,1,1,10,4,1,1,2,8,2,1,64,1,6,1,5,1,1,2,1983,28,6.0,18.0,840005,2011
83294,6,840,1,1,1,9,4,2,1,3,9,1,2,62,1,1,3,6,3,2,2,1939,72,8.0,19.0,840002,2011
83295,6,840,1,1,1,8,3,2,1,1,7,2,3,53,1,6,1,6,8,2,2,1965,46,7.0,18.0,840006,2011
83296,6,840,1,2,1,9,4,2,1,0,8,3,2,64,1,10,4,4,1,1,2,1986,25,9.0,22.0,840002,2011
83297,6,840,1,4,2,8,4,3,1,0,7,2,1,0,2,10,8,7,1,1,2,1976,35,8.0,19.0,840002,2011
83298,6,840,1,1,1,10,3,1,1,2,10,1,1,64,1,1,1,1,5,2,2,1961,50,3.0,14.0,840005,2011
83299,6,840,1,2,2,7,1,2,1,2,5,3,3,64,1,5,5,5,1,1,1,1952,59,8.0,20.0,840002,2011
83300,6,840,2,4,2,7,4,2,1,0,6,3,2,0,3,10,8,9,1,1,1,1970,41,9.0,22.0,840002,2011
83301,6,840,1,3,2,6,3,1,1,2,6,3,1,53,1,9,9,9,3,2,2,1972,39,8.0,25.0,840002,2011
83302,6,840,1,3,2,8,4,1,5,2,8,2,2,64,1,1,7,3,3,1,1,1942,69,7.0,18.0,840002,2011
83303,6,840,1,2,1,7,3,3,1,2,6,4,2,62,1,3,5,7,4,1,1,1941,70,7.0,18.0,840002,2011
83304,6,840,2,4,2,9,4,2,1,2,9,2,2,42,2,10,6,9,4,2,2,1940,71,7.0,18.0,840002,2011
83305,6,840,1,4,2,7,3,2,1,2,3,2,2,0,2,10,5,5,3,2,1,1974,37,7.0,18.0,840002,2011
83306,6,840,1,1,1,8,4,2,1,3,9,2,2,62,1,1,1,7,5,2,2,1962,49,9.0,25.0,840002,2011
83307,6,840,1,1,2,5,4,2,5,8,1,2,4,62,2,5,1,6,4,2,2,1926,85,6.0,16.0,840002,2011
83308,6,840,1,3,2,7,3,1,1,2,8,3,2,64,1,5,1,3,4,1,1,1938,73,7.0,18.0,840002,2011
83309,6,840,1,2,2,7,3,2,1,2,7,2,1,64,2,1,5,5,5,2,2,1978,33,8.0,35.0,840002,2011
83310,6,840,1,2,2,9,3,2,6,0,8,2,2,62,1,7,5,5,1,2,2,1982,29,9.0,21.0,840002,2011
83311,6,840,1,3,1,9,4,3,6,0,7,3,2,52,2,10,8,9,1,2,2,1988,23,9.0,21.0,840002,2011
83312,6,840,1,2,1,9,3,1,1,1,5,3,3,0,1,8,6,6,1,1,1,1973,38,7.0,18.0,840002,2011
83313,6,840,1,4,2,7,2,3,1,2,5,3,2,53,2,10,9,8,4,2,2,1945,66,7.0,18.0,840002,2011
83314,6,840,2,3,3,3,3,3,3,2,1,3,1,0,2,5,5,5,3,-2,1,1961,50,8.0,19.0,840002,2011
83315,6,840,1,4,3,3,3,2,6,1,3,2,2,0,2,4,10,10,8,1,1,1969,42,8.0,42.0,840002,2011
83316,6,840,1,1,1,8,3,1,1,1,6,2,2,62,1,1,1,5,2,2,2,1984,27,8.0,18.0,840002,2011
83317,6,840,1,2,1,9,3,2,3,4,5,1,2,64,1,10,8,8,4,1,2,1936,75,9.0,40.0,840002,2011
83318,6,840,1,2,1,8,4,3,2,0,7,2,3,64,2,10,5,10,1,1,2,1989,22,8.0,22.0,840005,2011
83319,6,840,1,1,2,7,3,2,1,2,7,3,3,0,1,1,3,3,1,1,1,1972,39,9.0,40.0,840002,2011
83320,6,840,1,1,2,8,3,2,6,0,8,3,3,64,1,1,1,1,1,1,1,1990,21,8.0,26.0,840002,2011
83321,6,840,1,3,1,8,4,3,1,0,10,2,2,0,2,9,9,9,1,1,2,1976,35,9.0,23.0,840005,2011
83322,6,840,1,3,2,9,3,2,1,2,10,3,2,62,1,7,8,6,4,1,1,1941,70,9.0,21.0,840002,2011
83323,6,840,1,4,2,5,4,4,2,1,3,1,2,0,2,9,7,6,7,2,2,1951,60,9.0,22.0,840002,2011
83324,6,840,1,1,1,9,3,1,3,0,8,2,2,62,1,1,1,5,2,1,2,1941,70,8.0,17.0,840002,2011
83325,6,840,1,4,2,5,3,2,1,4,7,2,2,0,3,10,8,10,4,2,2,1924,87,8.0,22.0,840002,2011
